,country,mode_keyword
0,Afghanistan,coronavirus
1,Albania,coronavirus
2,Algeria,coronavirus
3,Andorra,coronavirus
4,Angola,coronavirus
5,Antarctica,coronavirus
6,Antigua and Barbuda,coronavirus
7,Argentina,coronavirus
8,Armenia,coronavirus
9,Aruba,coronavirus
10,Australia,coronavirus
11,Austria,coronavirus
12,Azerbaijan,coronavirus
13,Bahrain,coronavirus
14,Bangladesh,coronavirus
15,Barbados,coronavirus
16,Belarus,coronavirus
17,Belgium,coronavirus
18,Belize,coronavirus
19,Benin,coronavirus
20,Bermuda,coronavirus
21,Bolivia,coronavirus
22,Bosnia and Herzegovina,coronavirus
23,Botswana,wuhan
24,Brazil,coronavirus
25,British Virgin Islands,coronavirus
26,Brunei,coronavirus
27,Bulgaria,coronavirus
28,Cambodia,coronavirus
29,Cameroon,coronavirus
30,Canada,coronavirus
31,Cape Verde,coronavirus
32,Cayman Islands,coronavirus
33,Chile,coronavirus
34,China,coronavirus
35,Christmas Island,wuhan
36,Colombia,coronavirus
37,Costa Rica,coronavirus
38,Croatia,coronavirus
39,Cuba,coronavirus
40,Cyprus,coronavirus
41,Czech Republic,coronavirus
42,Democratic Republic of Congo,coronavirus
43,Denmark,coronavirus
44,Djibouti,coronavirus
45,Dominica,coronavirus
46,Dominican Republic,coronavirus
47,Ecuador,coronavirus
48,Egypt,coronavirus
49,El Salvador,coronavirus
50,Eritrea,coronavirus
51,Estonia,coronavirus
52,Ethiopia,coronavirus
53,Federated States of Micronesia,coronavirus
54,Fiji,coronavirus
55,Finland,coronavirus
56,France,coronavirus
57,French Polynesia,coronavirus
58,Georgia,coronavirus
59,Germany,coronavirus
60,Ghana,coronavirus
61,Greece,coronavirus
62,Greenland,coronavirus
63,Grenada,coronavirus
64,Guadeloupe,coronavirus
65,Guatemala,coronavirus
66,Guyana,coronavirus
67,Haiti,coronavirus
68,Honduras,coronavirus
69,Hong Kong,coronavirus
70,Hungary,coronavirus
71,Iceland,coronavirus
72,India,coronavirus
73,Indonesia,coronavirus
74,Iran,coronavirus
75,Iraq,coronavirus
76,Ireland,coronavirus
77,Israel,coronavirus
78,Italy,coronavirus
79,Ivory Coast,coronavirus
80,Jamaica,coronavirus
81,Japan,coronavirus
82,Jordan,coronavirus
83,Kazakhstan,coronavirus
84,Kenya,coronavirus
85,Kuwait,coronavirus
86,Kyrgyzstan,coronavirus
87,Latvia,coronavirus
88,Lebanon,coronavirus
89,Lesotho,coronavirus
90,Libya,coronavirus
91,Lithuania,coronavirus
92,Luxembourg,coronavirus
93,Macau-China,coronavirus
94,Macedonia,coronavirus
95,Madagascar,coronavirus
96,Malawi,coronavirus
97,Malaysia,coronavirus
98,Maldives,coronavirus
99,Malta,coronavirus
100,Martinique,coronavirus
101,Mauritius,coronavirus
102,Mexico,coronavirus
103,Moldova,coronavirus
104,Monaco,coronavirus
105,Mongolia,coronavirus
106,Montenegro,coronavirus
107,Morocco,coronavirus
108,Mozambique,coronavirus
109,Myanmar,coronavirus
110,Namibia,coronavirus
111,Nepal,coronavirus
112,Netherlands,coronavirus
113,Netherlands Antilles,coronavirus
114,New Zealand,coronavirus
115,Nicaragua,coronavirus
116,Nigeria,coronavirus
117,North Korea,coronavirus
118,Norway,coronavirus
119,Oman,coronavirus
120,Pakistan,coronavirus
121,Palestinian Territories,coronavirus
122,Panama,coronavirus
123,Papua New Guinea,coronavirus
124,Paraguay,coronavirus
125,Peru,coronavirus
126,Philippines,coronavirus
127,Poland,coronavirus
128,Portugal,coronavirus
129,Qatar,coronavirus
130,Republic of Latvia,coronavirus
131,Republic of Lithuania,coronavirus
132,Reunion,coronavirus
133,Romania,coronavirus
134,Russia,coronavirus
135,Rwanda,coronavirus
136,Saint Vincent and the Grenadines,coronavirus
137,Samoa,coronavirus
138,Saudi Arabia,coronavirus
139,Senegal,coronavirus
140,Serbia,coronavirus
141,Seychelles,coronavirus
142,Sierra Leone,coronavirus
143,Singapore,coronavirus
144,Slovakia,coronavirus
145,Slovenia,coronavirus
146,Somalia,coronavirus
147,South Africa,coronavirus
148,South Georgia and the South Sandwich Islands,coronavirus
149,South Korea,coronavirus
150,Spain,coronavirus
151,Sri Lanka,coronavirus
152,St. Lucia,coronavirus
153,Sudan,coronavirus
154,Suriname,coronavirus
155,Swaziland,coronavirus
156,Sweden,coronavirus
157,Switzerland,coronavirus
158,Syria,coronavirus
159,Taiwan,coronavirus
160,Tajikistan,coronavirus
161,Tanzania,coronavirus
162,Thailand,coronavirus
163,The Bahamas,coronavirus
164,The Gambia,coronavirus
165,The Netherlands,coronavirus
166,Trinidad and Tobago,coronavirus
167,Tunisia,coronavirus
168,Turkey,coronavirus
169,Turkmenistan,coronavirus
170,Turks and Caicos Islands,coronavirus
171,Uganda,coronavirus
172,Ukraine,coronavirus
173,United Arab Emirates,coronavirus
174,United Kingdom,coronavirus
175,United States,coronavirus
176,Uruguay,coronavirus
177,Uzbekistan,coronavirus
178,Vatican City,coronavirus
179,Venezuela,coronavirus
180,Vietnam,coronavirus
181,Yemen,coronavirus
182,Zambia,coronavirus
183,Zimbabwe,coronavirus
